code,name
7203,トヨタ自動車
7267,ホンダ
7201,日産自動車
7269,スズキ
7261,マツダ
7270,SUBARU
7202,いすゞ自動車
7211,三菱自動車
7272,ヤマハ発動機
5108,ブリヂストン
6758,ソニーグループ
6752,パナソニックHD
6501,日立製作所
6702,富士通
6701,日本電気
7751,キヤノン
4901,富士フイルムHD
7733,オリンパス
7741,HOYA
6971,京セラ
6981,村田製作所
6954,ファナック
6902,デンソー
6503,三菱電機
6594,日本電産
6645,オムロン
6367,ダイキン工業
6301,小松製作所
6326,クボタ
7011,三菱重工業
7012,川崎重工業
7013,IHI
6857,アドバンテスト
8035,東京エレクトロン
6920,レーザーテック
6146,ディスコ
7735,SCREENホールディングス
6723,ルネサスエレクトロニクス
6963,ローム
6762,TDK
6770,アルプスアルパイン
9984,ソフトバンクグループ
9434,ソフトバンク
9432,日本電信電話
9433,KDDI
6098,リクルートHD
4755,楽天グループ
4689,LINEヤフー
2413,エムスリー
3659,ネクソン
4751,サイバーエージェント
9613,NTTデータグループ
4307,野村総合研究所
4684,オービック
4704,トレンドマイクロ
8306,三菱UFJフィナンシャル・グループ
8316,三井住友フィナンシャルグループ
8411,みずほフィナンシャルグループ
8604,野村ホールディングス
8766,東京海上ホールディングス
8725,MS&ADインシュアランスグループHD
8630,SOMPOホールディングス
8058,三菱商事
8031,三井物産
8001,伊藤忠商事
8053,住友商事
8002,丸紅
9020,東日本旅客鉄道
9021,西日本旅客鉄道
9022,東海旅客鉄道
9202,ANAホールディングス
9201,日本航空
9101,日本郵船
9104,商船三井
9107,川崎汽船
9503,関西電力
9501,東京電力ホールディングス
9502,中部電力
5401,日本製鉄
5411,JFEホールディングス
4063,信越化学工業
3402,東レ
3407,旭化成
4005,住友化学
4188,三菱ケミカルグループ
4021,日産化学
4452,花王
4911,資生堂
2502,アサヒグループホールディングス
2503,キリンホールディングス
2914,日本たばこ産業
2802,味の素
2897,日清食品ホールディングス
2269,明治ホールディングス
2267,ヤクルト本社
4543,テルモ
4568,第一三共
4502,武田薬品工業
4503,アステラス製薬
7832,バンダイナムコホールディングス
6460,セガサミーホールディングス
9766,コナミグループ
9697,カプコン
9684,スクウェア・エニックス・ホールディングス
7974,任天堂
7912,大日本印刷
7911,凸版印刷
4204,積水化学工業
1928,積水ハウス
1925,大和ハウス工業
5332,TOTO
5938,LIXIL
6988,日東電工
6869,シスメックス
7752,リコー
4902,コニカミノルタ
6952,カシオ計算機
6724,セイコーエプソン
6753,シャープ
